sentence,token,position,token_type,analysis_type,pos,dep,manual_autoregressive_seq2seq_source_entropy_bits,manual_autoregressive_seq2seq_source_surprisal_bits,manual_autoregressive_seq2seq_source_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_entropy_bits,manual_autoregressive_seq2seq_source_entmax_surprisal_bits,manual_autoregressive_seq2seq_source_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_entmax_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_branching_choices,manual_autoregressive_conditional_source_entropy_bits,manual_autoregressive_conditional_source_surprisal_bits,manual_autoregressive_conditional_source_topk_entropy_k5_bits,manual_autoregressive_conditional_source_topk_mass_k5,manual_autoregressive_conditional_source_entmax_entropy_bits,manual_autoregressive_conditional_source_entmax_surprisal_bits,manual_autoregressive_conditional_source_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_source_entmax_topk_mass_k5,manual_autoregressive_conditional_source_entmax_branching_choices,manual_bigram_decoder_source_entropy_bits,manual_bigram_decoder_source_surprisal_bits,manual_bigram_decoder_source_topk_entropy_k5_bits,manual_bigram_decoder_source_topk_mass_k5,manual_bigram_decoder_source_entmax_entropy_bits,manual_bigram_decoder_source_entmax_surprisal_bits,manual_bigram_decoder_source_entmax_topk_entropy_k5_bits,manual_bigram_decoder_source_entmax_topk_mass_k5,manual_bigram_decoder_source_entmax_branching_choices,candidate_idx,target_sentence,manual_autoregressive_seq2seq_target_entropy_bits,manual_autoregressive_seq2seq_target_surprisal_bits,manual_autoregressive_seq2seq_target_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_entropy_bits,manual_autoregressive_seq2seq_target_entmax_surprisal_bits,manual_autoregressive_seq2seq_target_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_entmax_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_branching_choices,manual_autoregressive_conditional_target_entropy_bits,manual_autoregressive_conditional_target_surprisal_bits,manual_autoregressive_conditional_target_topk_entropy_k5_bits,manual_autoregressive_conditional_target_topk_mass_k5,manual_autoregressive_conditional_target_entmax_entropy_bits,manual_autoregressive_conditional_target_entmax_surprisal_bits,manual_autoregressive_conditional_target_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_target_entmax_topk_mass_k5,manual_autoregressive_conditional_target_entmax_branching_choices,manual_bigram_decoder_target_entropy_bits,manual_bigram_decoder_target_surprisal_bits,manual_bigram_decoder_target_topk_entropy_k5_bits,manual_bigram_decoder_target_topk_mass_k5,manual_bigram_decoder_target_entmax_entropy_bits,manual_bigram_decoder_target_entmax_surprisal_bits,manual_bigram_decoder_target_entmax_topk_entropy_k5_bits,manual_bigram_decoder_target_entmax_topk_mass_k5,manual_bigram_decoder_target_entmax_branching_choices
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ł,10,source,manual_autoregressive,NOUN,iobj,6.209339141845703,5.679133221971801,1.3287588357925415,0.6787411570549011,0.12054316699504852,20.0,0.12054316699504852,1.0,2.0,10.580782890319824,8.837914975744372,2.1826789379119873,0.3101867139339447,1.6635112762451172,20.0,1.6635115146636963,0.9999997615814209,5.0,0.1277453899383545,31.02777146269613,0.06987254321575165,0.997635543346405,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ką,11,source,manual_autoregressive,NOUN,iobj,11.028913497924805,17.905678874150713,1.72344970703125,0.4092758893966675,0.9981603622436523,20.0,0.9981603622436523,1.0,2.0,7.764825820922852,16.65259341270097,1.6790457963943481,0.5706608295440674,0.9894919395446777,20.0,0.9894920587539673,1.0000001192092896,2.0,5.905755043029785,17.67986879772024,1.057159185409546,0.6628803610801697,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁chłop,12,source,manual_autoregressive,NOUN,nsubj,10.317037582397461,13.537568997018422,1.9347198009490967,0.41236451268196106,1.2795194387435913,20.0,1.2795194387435913,0.9999999403953552,3.0,12.27171516418457,13.874170830514972,1.8811358213424683,0.2757268249988556,0.9681454300880432,20.0,0.9681453704833984,0.9999999403953552,4.0,9.978293418884277,16.855966523692306,1.9661979675292969,0.34317368268966675,1.1462681293487549,20.0,1.1462681293487549,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,iec,13,source,manual_autoregressive,NOUN,nsubj,10.587471008300781,14.908645487829022,2.1904356479644775,0.3106953799724579,1.7264868021011353,20.0,1.70369291305542,0.997231662273407,6.0,10.401348114013672,17.183668542007258,1.4050205945968628,0.36507686972618103,0.19900432229042053,20.0,0.1990041732788086,0.9999999403953552,2.0,9.845113754272461,15.955683764826668,1.7701048851013184,0.4664505422115326,1.2358524799346924,20.0,1.2358524799346924,0.9999998807907104,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,.,14,source,manual_autoregressive,NOUN,nsubj,10.160008430480957,5.20235420542711,0.9621656537055969,0.382324755191803,-0.0,20.0,-0.0,1.0,1.0,10.94436264038086,6.69760232417756,1.7840384244918823,0.3269704282283783,1.1006312370300293,20.0,1.1006312370300293,1.0,3.0,5.847413063049316,19.21261510630993,1.4318748712539673,0.7147982716560364,0.9626270532608032,20.0,0.9626270532608032,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁Ch,15,source,manual_autoregressive,NOUN,nsubj,3.396749973297119,13.082085122327362,0.13775193691253662,0.8365000486373901,-0.0,20.0,-0.0,1.0,1.0,3.9282140731811523,12.48508998687951,0.20228832960128784,0.8097260594367981,-0.0,20.0,-0.0,1.0,1.0,4.861546993255615,16.002125464659084,0.1588858664035797,0.7582325339317322,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ło,16,source,manual_autoregressive,NOUN,nsubj,0.02795722894370556,25.866265595393664,0.007612459361553192,0.9991729259490967,-0.0,20.0,-0.0,1.0,1.0,9.187615394592285,15.705550884666888,2.0092458724975586,0.3715783357620239,1.3193458318710327,20.0,1.3193458318710327,1.0,3.0,0.005102769937366247,41.23113845606886,0.005083617754280567,0.9999994039535522,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,pie,17,source,manual_autoregressive,NOUN,nsubj,0.44216224551200867,23.403106088555127,0.12814532220363617,0.9862866997718811,-0.0,20.0,-0.0,1.0,1.0,6.384890079498291,14.127095020706845,1.13301420211792,0.6379675269126892,0.20449817180633545,20.0,0.20449817180633545,1.0,2.0,7.207690238952637,14.381474355754769,0.810042142868042,0.556905210018158,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,c,18,source,manual_autoregressive,NOUN,nsubj,10.237354278564453,16.34319143329452,1.327660083770752,0.45476412773132324,0.1217452734708786,20.0,0.12174542993307114,1.0000001192092896,2.0,8.79682445526123,17.967861258914226,0.5097136497497559,0.5174020528793335,-0.0,20.0,-0.0,1.0,1.0,0.0011703710770234466,40.88164312336896,0.0009406581521034241,0.999992847442627,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁da,19,source,manual_autoregressive,PUNCT,punct,12.597574234008789,19.54350019159761,1.61093270778656,0.28062376379966736,0.7521013021469116,20.0,0.7521013021469116,1.0,2.0,14.019418716430664,15.228090365265677,1.9820722341537476,0.1390213817358017,0.981830894947052,20.0,0.9818307757377625,0.9999997615814209,5.0,8.535380363464355,16.681428643345146,1.3876123428344727,0.5588043332099915,0.24634596705436707,20.0,0.24634581804275513,0.9999998807907104,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ł,20,source,manual_autoregressive,PUNCT,punct,6.209339141845703,5.679133221971801,1.3287588357925415,0.6787411570549011,0.12054316699504852,20.0,0.12054316699504852,1.0,2.0,10.580782890319824,8.837914975744372,2.1826789379119873,0.3101867139339447,1.6635112762451172,20.0,1.6635115146636963,0.9999997615814209,5.0,0.1277453899383545,31.02777146269613,0.06987254321575165,0.997635543346405,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pi,21,source,manual_autoregressive,PUNCT,punct,8.621212005615234,13.900107747294266,0.3196631073951721,0.5282116532325745,-0.0,20.0,-0.0,1.0,1.0,7.492061614990234,10.448057686800869,0.8452829718589783,0.5828802585601807,-0.0,20.0,-0.0,1.0,1.0,5.905755043029785,15.271108669935895,1.057159185409546,0.6628803610801697,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ł,22,source,manual_autoregressive,PUNCT,punct,6.209339141845703,5.679133221971801,1.3287588357925415,0.6787411570549011,0.12054316699504852,20.0,0.12054316699504852,1.0,2.0,10.580782890319824,8.837914975744372,2.1826789379119873,0.3101867139339447,1.6635112762451172,20.0,1.6635115146636963,0.9999997615814209,5.0,0.1277453899383545,31.02777146269613,0.06987254321575165,0.997635543346405,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,kę,23,source,manual_autoregressive,PUNCT,punct,5.276237487792969,19.35908211772359,0.5122605562210083,0.7355378270149231,-0.0,20.0,-0.0,1.0,1.0,5.765361785888672,14.841320054295117,0.7484567165374756,0.7008333802223206,-0.0,20.0,-0.0,1.0,1.0,5.905755043029785,17.54454597084769,1.057159185409546,0.6628803610801697,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁kot,24,source,manual_autoregressive,PUNCT,punct,10.725981712341309,15.52862569264042,1.7978317737579346,0.36176133155822754,0.6539762020111084,20.0,0.6539762616157532,1.0000001192092896,3.0,9.652193069458008,15.279707617548816,1.8099583387374878,0.42257657647132874,1.2249476909637451,20.0,1.2249476909637451,1.0000001192092896,3.0,13.932779312133789,17.383592387837627,2.0138747692108154,0.1004343032836914,1.2258307933807373,20.0,1.0574702024459839,0.9774200916290283,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,u,25,source,manual_autoregressive,PUNCT,punct,0.0861368328332901,23.877498359361667,0.05255013704299927,0.9985354542732239,-0.0,20.0,-0.0,1.0,1.0,11.318548202514648,13.23445843504686,2.2959160804748535,0.28152337670326233,2.1891331672668457,20.0,2.1891331672668457,1.0000001192092896,5.0,0.0009443871094845235,44.39759030185594,0.0009365190053358674,0.9999998807907104,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,.,26,source,manual_autoregressive,PUNCT,punct,10.160008430480957,5.20235420542711,0.9621656537055969,0.382324755191803,-0.0,20.0,-0.0,1.0,1.0,10.94436264038086,6.69760232417756,1.7840384244918823,0.3269704282283783,1.1006312370300293,20.0,1.1006312370300293,1.0,3.0,5.847413063049316,19.21261510630993,1.4318748712539673,0.7147982716560364,0.9626270532608032,20.0,0.9626270532608032,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,</s>,27,source,manual_autoregressive,SPECIAL,SPECIAL,3.082169532775879,14.058648129476454,0.08635067939758301,0.8590611815452576,-0.0,20.0,-0.0,1.0,1.0,2.2727036476135254,9.402945310460767,0.055017728358507156,0.8910333514213562,-0.0,20.0,-0.0,1.0,1.0,4.861546993255615,0.42525508354507546,0.1588858664035797,0.7582325339317322,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,</s>,0,target,manual_autoregressive,SPECIAL,SPECIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,en_XX,1,target,manual_autoregressive,SPECIAL,SPECIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁In,2,target,manual_autoregressive,ADP,prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁the,3,target,manual_autoregressive,DET,det,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁yard,4,target,manual_autoregressive,NOUN,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁the,5,target,manual_autoregressive,DET,det,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁boy,6,target,manual_autoregressive,NOUN,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁had,7,target,manual_autoregressive,VERB,ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁fun,8,target,manual_autoregressive,NOUN,dobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁with,9,target,manual_autoregressive,ADP,prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁the,10,target,manual_autoregressive,DET,det,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁ball,11,target,manual_autoregressive,NOUN,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,.,12,target,manual_autoregressive,NOUN,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁The,13,target,manual_autoregressive,NOUN,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,In the yard the boy had fun with the ball. The boy gave the ball to the cat.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
